GH_LUX,GH_Humidity,GH_Temperature,GH_Pressure,GH_Days
1430.0,68.77,16.56,102.04786,2021-04-30 11:49:39
3880.83,60.62,19.33,102.0401,2021-04-30 12:29:39
3541.67,57.19,20.42,102.01728,2021-04-30 13:09:39
3430.83,57.96,19.69,102.01874,2021-04-30 13:49:39
6935.0,38.45,26.93,101.98926999999999,2021-04-30 14:29:39
11311.67,33.3,29.4,101.96705,2021-04-30 15:09:39
5609.17,26.06,32.56,101.91386,2021-04-30 15:49:39
2586.67,42.25,23.86,101.874,2021-04-30 16:29:39
4071.67,43.7,24.06,101.82670999999999,2021-04-30 17:09:39
3520.0,38.75,25.6,101.80273000000001,2021-04-30 17:49:39
2251.67,45.04,22.31,101.78116,2021-04-30 18:29:39
0.001,76.18,13.62,101.76136,2021-04-30 22:27:52
0.001,76.39,13.23,101.76106999999999,2021-04-30 23:31:55
0.001,71.41,12.8,101.77735,2021-05-01 00:11:46
0.001,71.13,12.01,101.76682,2021-05-01 00:51:46
0.001,73.88,10.63,101.77225,2021-05-01 01:31:46
0.001,76.85,10.27,101.76264,2021-05-01 02:11:46
0.001,80.97,9.4,101.75016,2021-05-01 02:51:46
0.001,83.88,8.38,101.74381,2021-05-01 03:31:46
0.001,86.91,7.66,101.76722,2021-05-01 04:11:46
0.001,86.83,7.24,101.78124,2021-05-01 04:51:46
8.33,87.45,6.73,101.79789,2021-05-01 05:31:46
396.67,84.83,6.49,101.81003,2021-05-01 06:11:46
1075.83,84.15,7.19,101.81211,2021-05-01 06:51:46
2015.83,81.92,9.28,101.83282,2021-05-01 07:31:46
8252.5,64.88,14.34,101.84581,2021-05-01 08:11:46
30442.5,45.91,20.08,101.83039000000001,2021-05-01 08:51:46
13340.83,32.63,24.65,101.83317,2021-05-01 09:31:46
9813.33,36.4,22.86,101.83632,2021-05-01 10:11:46
13497.5,32.22,25.37,101.83738,2021-05-01 10:51:46
29790.0,23.43,30.61,101.83922,2021-05-01 11:31:46
27116.67,16.22,35.21,101.81163,2021-05-01 12:11:46
10693.33,19.44,32.85,101.81455,2021-05-01 12:51:46
10188.33,22.09,29.66,101.7949,2021-05-01 13:31:46
10240.83,19.16,29.86,101.79547,2021-05-01 14:11:46
10106.67,13.6,35.0,101.7864,2021-05-01 14:51:46
10613.33,15.88,32.63,101.75885,2021-05-01 15:31:46
9980.0,18.13,29.21,101.73794,2021-05-01 16:11:46
9591.67,15.49,31.24,101.72013,2021-05-01 16:51:46
9020.83,17.43,30.19,101.71682,2021-05-01 17:31:46
11146.67,16.72,30.38,101.73539,2021-05-01 18:11:46
6130.0,24.05,26.08,101.73092,2021-05-01 18:51:46
3760.83,25.31,23.44,101.7318,2021-05-01 19:31:46
502.5,37.43,17.59,101.7588,2021-05-01 20:11:46
5.83,46.24,14.29,101.8028,2021-05-01 20:51:46
0.001,54.67,12.4,101.84199,2021-05-01 21:31:46
0.001,61.33,11.02,101.90034,2021-05-01 22:16:40
0.001,71.55,8.52,102.0103,2021-05-02 00:20:51
0.001,74.06,7.83,102.03981,2021-05-02 01:00:51
0.001,75.02,7.69,102.0685,2021-05-02 01:40:51
0.001,71.61,8.78,102.07985,2021-05-02 02:20:51
0.001,70.14,8.77,102.07864,2021-05-02 03:00:51
0.001,74.77,7.51,102.11677,2021-05-02 03:40:51
0.001,74.9,7.78,102.14406,2021-05-02 04:20:51
0.001,76.23,7.35,102.17395,2021-05-02 05:00:51
42.5,78.78,6.89,102.20484,2021-05-02 05:40:51
805.83,75.38,7.96,102.22263000000001,2021-05-02 06:20:51
1224.17,70.53,9.76,102.25135,2021-05-02 07:00:51
1929.17,64.8,11.18,102.27705,2021-05-02 07:40:51
5095.83,54.82,14.19,102.28478,2021-05-02 08:20:51
10495.0,40.78,19.38,102.2727,2021-05-02 09:00:51
18659.17,39.21,19.76,102.25216,2021-05-02 09:40:51
43360.83,26.08,26.17,102.24545,2021-05-02 10:20:51
39969.16,16.67,33.36,102.26481,2021-05-02 11:00:51
41217.5,16.49,34.49,102.26172,2021-05-02 11:40:51
23108.33,20.99,30.41,102.24964,2021-05-02 12:20:51
11290.83,20.75,31.74,102.22855,2021-05-02 13:00:51
10460.83,24.84,28.49,102.20752,2021-05-02 13:40:51
10208.33,22.15,29.69,102.17855,2021-05-02 14:20:51
10554.17,16.57,34.18,102.14408,2021-05-02 15:00:51
10768.33,16.39,33.7,102.11325,2021-05-02 15:40:51
10185.0,21.38,30.11,102.06469,2021-05-02 16:20:51
9669.17,18.47,31.52,102.02486,2021-05-02 17:00:51
8568.33,22.72,27.31,101.98477,2021-05-02 17:40:51
8228.33,28.89,25.55,102.0049,2021-05-02 18:20:51
4920.83,29.51,24.3,102.01875,2021-05-02 19:00:51
11.67,47.06,15.12,102.03276,2021-05-02 20:46:41
0.001,54.16,13.56,102.05261,2021-05-02 21:26:41
0.001,62.61,12.45,102.05455,2021-05-02 22:06:41
0.001,65.28,11.31,102.05305,2021-05-02 22:46:41
0.001,66.26,10.69,102.05426999999999,2021-05-02 23:26:41
0.001,67.78,10.19,102.06523,2021-05-03 00:06:41
0.001,69.08,9.84,102.05725,2021-05-03 00:46:41
0.001,68.63,10.03,102.04955,2021-05-03 01:26:41
0.001,71.36,9.64,102.05612,2021-05-03 02:06:41
0.001,71.59,9.5,102.04290999999999,2021-05-03 02:46:41
0.001,70.51,9.69,102.05561,2021-05-03 03:26:41
0.001,68.28,10.08,102.03244,2021-05-03 04:06:42
0.001,68.76,9.92,102.04181,2021-05-03 04:46:42
3.33,69.02,9.85,102.02298,2021-05-03 05:26:41
212.5,68.6,10.15,102.03941,2021-05-03 06:06:42
741.67,64.07,11.06,102.07916999999999,2021-05-03 06:46:42
2791.67,59.21,12.92,102.10875,2021-05-03 07:26:42
5235.0,47.47,16.56,102.08708,2021-05-03 08:06:42
10828.33,36.4,19.78,102.10034,2021-05-03 08:46:42
9846.67,36.96,19.47,102.07633,2021-05-03 09:26:42
4016.67,41.62,16.83,102.10845,2021-05-03 10:06:42
6306.67,38.94,19.15,102.09581,2021-05-03 10:46:42
3913.33,41.87,19.27,102.10898,2021-05-03 11:26:42
5026.67,44.41,20.36,102.10681,2021-05-03 12:06:42
6153.33,47.25,20.22,102.12411,2021-05-03 12:46:41
4066.67,50.08,19.47,102.12861,2021-05-03 13:26:42
5156.67,47.52,19.65,102.13806,2021-05-03 14:06:41
3966.67,47.12,20.24,102.12299999999999,2021-05-03 14:46:41
2292.5,51.54,18.63,102.09867,2021-05-03 15:26:42
3275.83,52.32,18.44,102.09253000000001,2021-05-03 16:06:41
1979.17,61.01,16.21,102.10833000000001,2021-05-03 16:46:42
2577.5,58.17,15.98,102.11259,2021-05-03 17:26:41
2459.17,60.81,16.81,102.07746999999999,2021-05-03 18:06:41
1360.0,64.51,15.52,102.05283,2021-05-03 18:46:42
410.83,69.82,13.9,102.05115,2021-05-03 19:26:41
190.83,72.73,13.12,102.0533,2021-05-03 20:06:42
6.67,79.46,12.13,102.06815,2021-05-03 20:46:42
0.001,82.13,11.62,102.08994,2021-05-03 21:26:41
0.001,82.97,11.33,102.10598,2021-05-03 22:06:41
0.001,82.84,11.13,102.10351,2021-05-03 22:46:41
0.001,83.42,11.17,102.10927,2021-05-03 23:26:42
0.001,83.24,11.01,102.09681,2021-05-04 00:06:41
0.001,83.5,10.99,102.11728000000001,2021-05-04 00:46:42
0.001,80.39,10.83,102.13605,2021-05-04 01:26:41
0.001,81.12,10.63,102.15094,2021-05-04 02:06:42
0.001,80.18,10.44,102.17898000000001,2021-05-04 02:46:41
0.001,81.44,10.26,102.17609,2021-05-04 03:26:41
0.001,82.48,9.94,102.18731,2021-05-04 04:06:41
0.001,84.44,8.95,102.19665,2021-05-04 04:46:41
5.83,86.36,9.08,102.21777,2021-05-04 05:26:41
106.67,85.38,9.39,102.24302,2021-05-04 06:06:42
478.33,80.91,10.23,102.27382,2021-05-04 06:46:42
2150.0,73.06,11.41,102.31059,2021-05-04 07:26:41
2050.0,68.35,12.9,102.33423,2021-05-04 08:06:42
1709.17,67.11,13.69,102.34666,2021-05-04 08:46:42
5945.83,50.74,18.57,102.34291,2021-05-04 09:26:42
11869.17,30.65,26.92,102.33618,2021-05-04 10:06:42
37262.5,18.65,35.48,102.32903,2021-05-04 10:46:42
20905.0,16.54,35.98,102.34558,2021-05-04 11:26:41
17405.83,17.57,35.28,102.34478,2021-05-04 12:06:41
9716.67,20.01,32.81,102.34544,2021-05-04 12:46:42
9544.17,17.63,33.89,102.32536,2021-05-04 13:26:42
3647.5,43.8,19.06,100.84852,2021-05-06 08:35:25
3324.17,36.58,20.47,100.86655,2021-05-06 09:15:21
2969.17,35.45,21.19,100.87080999999999,2021-05-06 09:55:22
2983.33,40.27,20.28,100.92871,2021-05-06 10:35:22
2916.67,44.34,19.45,100.99616,2021-05-06 11:15:21
2938.33,46.26,18.42,101.03122,2021-05-06 11:55:22
3893.33,40.94,20.41,101.04209,2021-05-06 12:35:21
7983.33,27.22,27.76,101.08556,2021-05-06 13:15:21
6332.5,25.97,27.04,101.12139,2021-05-06 13:55:21
3585.0,27.83,24.74,101.13216,2021-05-06 14:35:22
822.5,38.76,20.3,101.16644000000001,2021-05-06 15:15:22
802.5,54.92,17.65,101.24359,2021-05-06 15:55:22
1208.33,68.17,15.87,101.23641,2021-05-06 16:35:21
644.17,68.49,15.74,101.28364,2021-05-06 17:15:21
1172.5,65.95,16.31,101.31837,2021-05-06 17:55:22
381.67,72.55,14.88,101.32811,2021-05-06 18:35:21
490.0,75.75,14.46,101.3669,2021-05-06 19:15:21
976.67,63.91,14.19,101.41691,2021-05-06 19:55:22
81.67,62.8,12.9,101.44015,2021-05-06 20:35:22
0.001,64.23,12.19,101.51011,2021-05-06 21:15:21
0.001,61.75,11.36,101.54609,2021-05-06 21:55:22
0.001,62.83,10.72,101.59939,2021-05-06 22:35:22
0.001,64.09,10.1,101.62916,2021-05-06 23:15:21
0.001,61.91,10.18,101.67513000000001,2021-05-06 23:55:21
0.001,60.4,10.33,101.70249,2021-05-07 00:35:21
0.001,61.73,9.58,101.74505,2021-05-07 01:15:21
0.001,63.81,9.76,101.77431,2021-05-07 01:55:22
0.001,68.53,9.34,101.80075,2021-05-07 02:35:21
0.001,74.16,8.45,101.82509,2021-05-07 03:15:21
0.001,79.03,7.57,101.85571,2021-05-07 03:55:21
0.001,77.73,7.88,101.88127,2021-05-07 04:35:22
1.67,79.66,7.82,101.89312,2021-05-07 05:15:21
234.17,78.72,7.89,101.90353,2021-05-07 05:55:21
225.0,76.33,8.93,101.9542,2021-05-07 06:35:22
1485.83,75.96,9.69,101.96616,2021-05-07 07:15:22
2531.67,66.27,11.27,101.99488000000001,2021-05-07 07:55:22
6301.67,55.83,14.45,101.99708,2021-05-07 08:35:21
5481.67,46.27,17.7,102.02428,2021-05-07 09:15:21
6468.33,33.94,21.54,102.03785,2021-05-07 09:55:21
25483.33,24.33,27.29,102.06036,2021-05-07 10:35:22
21984.17,18.6,31.11,102.10608,2021-05-07 11:15:21
12480.83,21.76,27.7,102.13121,2021-05-07 11:55:22
11453.33,17.24,31.88,102.13294,2021-05-07 12:35:22
10082.5,15.79,33.45,102.14305999999999,2021-05-07 13:15:21
10216.67,19.47,28.91,102.17769,2021-05-07 13:55:22
10290.0,16.31,32.2,102.1853,2021-05-07 14:35:21
10910.83,10.19,37.76,102.17066,2021-05-07 15:15:22
10695.83,13.85,33.55,102.16705,2021-05-07 15:55:21
9751.67,16.59,30.55,102.16725,2021-05-07 16:35:21
9102.5,15.69,29.22,102.18809,2021-05-07 17:15:21
8453.33,19.27,27.54,102.18477,2021-05-07 17:55:21
6430.83,22.96,24.66,102.1692,2021-05-07 18:35:22
4210.0,27.44,23.27,102.2018,2021-05-07 19:15:21
1250.83,36.77,18.46,102.21384,2021-05-07 19:55:22
95.0,48.64,14.35,102.27273,2021-05-07 20:35:21
0.001,54.77,13.24,102.31788,2021-05-07 21:15:22
0.001,59.63,12.41,102.34851,2021-05-07 21:55:21
0.001,58.8,12.26,102.35136,2021-05-07 22:35:21
0.001,62.78,11.36,102.36889,2021-05-07 23:15:21
0.001,66.61,10.78,102.38645,2021-05-07 23:55:21
0.001,72.19,9.65,102.38936,2021-05-08 00:35:22
0.001,72.37,9.18,102.40155,2021-05-08 01:15:22
0.001,73.53,9.04,102.43458,2021-05-08 01:55:21
0.001,74.1,8.45,102.44288,2021-05-08 02:35:21
0.001,77.71,7.96,102.47039,2021-05-08 03:15:21
0.001,75.25,8.54,102.47836,2021-05-08 03:55:21
0.001,74.25,8.78,102.49722,2021-05-08 04:35:21
0.83,76.81,8.67,102.52234,2021-05-08 05:15:21
65.83,80.41,8.5,102.54861,2021-05-08 05:55:21
457.5,81.57,8.72,102.57377,2021-05-08 06:35:22
1248.33,75.95,9.95,102.61195,2021-05-08 07:15:21
1760.83,71.14,11.45,102.64669,2021-05-08 07:55:21
2962.5,61.91,13.77,102.67265,2021-05-08 08:52:55
4672.5,56.69,14.94,102.68786,2021-05-08 09:32:55
14913.33,36.01,22.7,102.69051999999999,2021-05-08 10:12:55
11223.33,34.62,21.37,102.69674,2021-05-08 10:52:54
19498.33,21.96,28.93,102.69103,2021-05-08 11:32:55
8885.0,30.85,22.45,102.6812,2021-05-08 12:12:55
6537.5,33.91,19.72,102.6622,2021-05-08 12:52:55
7889.17,30.75,21.92,102.65844,2021-05-08 13:32:54
8301.67,24.5,25.03,102.65795,2021-05-08 14:12:55
13065.83,16.22,31.5,102.65123,2021-05-08 14:52:55
4114.17,23.19,23.95,102.63423,2021-05-08 15:32:54
3128.33,27.32,21.73,102.64311,2021-05-08 16:12:55
2177.5,31.32,19.92,102.64496,2021-05-08 16:52:55
1981.67,35.58,18.43,102.64456,2021-05-08 17:32:54
4240.0,32.1,20.23,102.64853000000001,2021-05-08 18:12:54
3115.83,33.22,19.91,102.6288,2021-05-08 18:52:55
1535.83,37.09,18.16,102.60424,2021-05-08 19:32:54
280.83,45.69,14.7,102.60837,2021-05-08 20:12:54
9.17,52.03,13.22,102.63204,2021-05-08 20:52:55
0.001,60.22,12.29,102.65073000000001,2021-05-08 21:32:54
0.001,62.28,11.62,102.63325,2021-05-08 22:12:54
0.001,63.57,11.16,102.60672,2021-05-08 22:52:55
0.001,63.94,10.89,102.58723,2021-05-08 23:32:54
0.001,67.58,10.04,102.59048,2021-05-09 00:12:55
0.001,70.6,9.41,102.59285,2021-05-09 00:52:54
0.001,69.74,9.09,102.59108,2021-05-09 01:32:55
0.001,68.76,9.42,102.57121,2021-05-09 02:12:54
0.001,69.94,9.26,102.57589,2021-05-09 02:52:54
0.001,70.11,9.24,102.56041,2021-05-09 03:32:54
0.001,70.66,9.15,102.5668,2021-05-09 04:12:54
0.001,71.45,9.12,102.54466,2021-05-09 04:52:55
34.17,72.76,8.88,102.53963,2021-05-09 05:32:55
515.83,70.53,9.34,102.53781,2021-05-09 06:12:55
1256.67,71.72,9.25,102.55357,2021-05-09 06:52:55
4180.0,61.2,11.74,102.56211,2021-05-09 07:32:55
6790.83,42.22,17.17,102.54391,2021-05-09 08:12:55
10490.83,38.22,19.37,102.55334,2021-05-09 08:52:55
15317.5,29.67,23.25,102.5402,2021-05-09 09:32:55
16320.0,24.47,26.44,102.51335999999999,2021-05-09 10:12:54
31777.5,15.83,33.91,102.50088,2021-05-09 10:52:55
40790.0,11.17,38.02,102.48241,2021-05-09 11:32:55
16760.83,12.44,36.71,102.45872,2021-05-09 12:12:55
12845.83,11.65,37.74,102.42888,2021-05-09 12:52:55
8325.0,17.72,32.04,102.40211,2021-05-09 13:32:55
8703.33,20.58,29.44,102.3873,2021-05-09 14:12:54
8732.5,14.82,34.05,102.3545,2021-05-09 14:52:54
9473.33,13.28,35.31,102.34223,2021-05-09 15:32:54
8633.33,17.22,31.99,102.32225,2021-05-09 16:12:54
8485.83,19.36,30.57,102.29290999999999,2021-05-09 16:52:55
9831.67,21.02,28.31,102.26052,2021-05-09 17:32:54
7000.83,24.32,26.47,102.23472,2021-05-09 18:12:55
4241.67,32.83,22.36,102.23274,2021-05-09 18:52:54
2454.17,44.6,18.83,102.24061,2021-05-09 19:32:54
805.83,47.59,18.04,102.24313,2021-05-09 20:12:55
25.83,56.36,15.21,102.2403,2021-05-09 20:52:55
0.001,63.83,13.26,102.2858,2021-05-09 21:32:55
0.001,65.8,11.95,102.29875,2021-05-09 22:12:54
0.001,68.21,11.05,102.30056,2021-05-09 22:52:54
0.001,69.88,10.33,102.29455,2021-05-09 23:32:54
0.001,72.04,9.72,102.32328000000001,2021-05-10 00:12:54
0.001,71.2,9.71,102.3303,2021-05-10 00:52:54
0.001,71.33,9.68,102.36388,2021-05-10 01:32:54
0.001,71.56,9.93,102.35847,2021-05-10 02:12:54
0.001,73.94,9.18,102.36426999999999,2021-05-10 02:52:54
0.001,76.79,8.22,102.3575,2021-05-10 03:32:55
0.001,78.74,7.83,102.37866,2021-05-10 04:12:55
0.001,79.07,7.45,102.37865,2021-05-10 04:52:54
65.0,79.92,7.37,102.38956999999999,2021-05-10 05:32:55
666.67,78.84,8.12,102.44013,2021-05-10 06:12:55
2473.33,66.12,11.7,102.45303,2021-05-10 06:52:55
4168.33,57.44,14.07,102.46353,2021-05-10 07:32:54
6328.33,42.71,19.68,102.4458,2021-05-10 08:12:55
9094.17,36.95,20.72,102.43723,2021-05-10 08:52:55
11533.33,32.85,22.92,102.42741,2021-05-10 09:32:55
14043.33,25.47,26.89,102.42039,2021-05-10 10:12:55
21419.17,19.27,32.19,102.43264,2021-05-10 10:52:55
35420.0,14.34,37.45,102.41498,2021-05-10 11:32:54
25258.33,12.45,39.76,102.3888,2021-05-10 12:12:54
12165.0,13.71,37.8,102.37003,2021-05-10 12:52:55
10849.17,19.33,32.79,102.34619,2021-05-10 13:32:55
11258.33,20.71,31.9,102.33983,2021-05-10 14:12:55
8840.0,15.18,36.5,102.33438,2021-05-10 14:52:55
11230.83,16.14,34.27,102.31498,2021-05-10 15:32:54
7144.17,18.13,30.59,102.2927,2021-05-10 16:12:55
10440.0,17.44,31.43,102.27316,2021-05-10 16:52:55
8957.5,20.45,29.99,102.22905,2021-05-10 17:32:55
6786.67,18.96,30.79,102.21127,2021-05-10 18:12:55
4425.83,22.53,26.62,102.2051,2021-05-10 18:52:54
1659.17,30.08,22.05,102.19881,2021-05-10 19:32:55
695.83,38.38,18.79,102.20666,2021-05-10 20:12:54
30.83,52.17,16.1,102.22225,2021-05-10 20:52:55
0.001,59.03,14.42,102.23034,2021-05-10 21:32:54
0.001,62.61,12.73,102.25148,2021-05-10 22:12:55
0.001,65.84,11.81,102.26087,2021-05-10 22:52:54
0.001,65.86,11.0,102.26736,2021-05-10 23:32:54
0.001,68.81,10.13,102.26538,2021-05-11 00:12:54
0.001,70.27,9.56,102.28054,2021-05-11 00:52:55
0.001,72.56,8.89,102.29745,2021-05-11 01:32:54
0.001,74.31,8.45,102.31099,2021-05-11 02:12:54
0.001,77.24,7.79,102.29494,2021-05-11 02:52:54
0.001,77.54,7.64,102.29661,2021-05-11 03:32:54
0.001,78.46,7.11,102.2972,2021-05-11 04:12:54
0.001,78.83,7.14,102.30567,2021-05-11 04:52:54
103.33,79.73,6.8,102.31978000000001,2021-05-11 05:32:55
872.5,77.98,7.35,102.32540999999999,2021-05-11 06:12:54
1635.83,74.91,8.62,102.34969,2021-05-11 06:52:55
2771.67,70.01,10.81,102.35600000000001,2021-05-11 07:32:55
5538.33,49.05,16.51,102.3618,2021-05-11 08:12:55
7798.33,37.43,19.75,102.34598000000001,2021-05-11 08:52:55
11205.83,32.21,23.09,102.33183000000001,2021-05-11 09:32:55
12732.5,23.6,27.96,102.30689,2021-05-11 10:12:55
27372.5,21.08,30.98,102.29905,2021-05-11 10:52:55
27132.5,15.09,36.2,102.27056999999999,2021-05-11 11:32:55
30398.33,14.9,37.37,102.22623,2021-05-11 12:12:55
11648.33,13.3,38.71,102.18139000000001,2021-05-11 12:52:54
8524.17,15.89,35.24,102.13178,2021-05-11 13:32:55
8491.67,15.95,34.63,102.1185,2021-05-11 14:12:55
8662.5,9.92,40.1,102.08865,2021-05-11 14:52:54
9281.67,9.52,38.72,102.05144,2021-05-11 15:32:55
9093.33,10.42,36.09,102.00986,2021-05-11 16:12:55
8446.67,15.85,35.16,101.99027,2021-05-11 16:52:54
8255.83,22.19,30.96,101.96389,2021-05-11 17:32:55
5017.5,22.24,27.2,101.94726,2021-05-11 18:12:55
3345.83,29.88,24.14,101.92231,2021-05-11 18:52:55
2137.5,36.09,22.76,101.91609,2021-05-11 19:32:54
521.67,48.02,19.28,101.89339,2021-05-11 20:12:55
29.17,58.25,16.98,101.90097,2021-05-11 20:52:55
0.001,64.76,15.56,101.91383,2021-05-11 21:32:55
0.001,69.19,14.47,101.91866,2021-05-11 22:12:55
0.001,63.66,13.97,101.89965,2021-05-11 22:52:54
0.001,60.83,13.63,101.9046,2021-05-11 23:32:55
0.001,48.85,13.4,101.8955,2021-05-12 00:12:55
0.001,53.42,13.2,101.89349,2021-05-12 00:52:54
0.001,54.11,13.01,101.89676999999999,2021-05-12 01:32:54
0.001,54.11,12.86,101.88686,2021-05-12 02:12:54
0.001,56.17,12.77,101.89248,2021-05-12 02:52:54
0.001,58.11,12.66,101.93631,2021-05-12 03:32:54
0.001,66.95,12.32,101.96198000000001,2021-05-12 04:12:54
0.001,72.88,12.16,101.97121,2021-05-12 04:52:55
18.33,76.75,11.78,101.97298,2021-05-12 05:32:54
165.83,78.35,11.48,101.96903,2021-05-12 06:12:54
484.17,78.19,11.74,101.97769,2021-05-12 06:52:55
1097.5,73.48,13.23,101.9964,2021-05-12 07:32:55
1591.67,69.99,14.52,102.02022,2021-05-12 08:12:55
476.67,51.36,19.47,102.02624,2021-05-12 20:18:24
20.0,59.38,17.62,102.05336,2021-05-12 20:58:16
0.001,64.5,16.54,102.07308,2021-05-12 21:38:16
0.001,71.31,15.12,102.09065,2021-05-12 22:18:16
0.001,76.42,13.77,102.08239,2021-05-12 22:58:16
0.001,79.34,12.9,102.10602,2021-05-12 23:38:16
0.001,78.63,12.33,102.12886,2021-05-13 00:18:16
0.001,80.62,11.84,102.14981,2021-05-13 00:58:17
0.001,81.48,11.16,102.15748,2021-05-13 01:38:16
0.001,83.94,10.76,102.16607,2021-05-13 02:18:16
0.001,85.68,10.41,102.17362,2021-05-13 02:58:16
0.001,84.85,10.01,102.18414,2021-05-13 03:38:16
0.001,85.95,9.65,102.20874,2021-05-13 04:18:16
0.83,85.18,9.14,102.2291,2021-05-13 04:58:16
122.5,86.74,9.26,102.23812,2021-05-13 05:38:17
867.5,83.68,10.27,102.2642,2021-05-13 06:18:16
2010.0,79.55,11.63,102.28389,2021-05-13 06:58:17
2838.33,71.03,14.07,102.30116,2021-05-13 07:38:17
7250.0,56.87,18.08,102.29853,2021-05-13 08:18:17
27041.67,42.17,22.72,102.2943,2021-05-13 08:58:16
52186.66,20.53,34.36,102.26431,2021-05-13 09:38:17
12579.17,32.63,26.65,102.25474,2021-05-13 10:18:17
43735.0,20.28,35.67,102.25251,2021-05-13 10:58:17
34613.33,16.79,38.52,102.22805,2021-05-13 11:38:16
22107.5,19.11,36.46,102.21819,2021-05-13 12:18:17
17893.33,16.01,39.54,102.1837,2021-05-13 12:58:17
8659.17,25.79,31.49,102.146,2021-05-13 13:38:17
8457.5,23.53,33.25,102.11413,2021-05-13 14:18:17
7893.33,16.41,38.34,102.08316,2021-05-13 14:58:17
8609.17,18.93,36.29,102.03341999999999,2021-05-13 15:38:17
